customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,senior_citizen,partner,dependents,phone_service,multiple_lines,online_security,online_backup,tech_support,streaming_tv,streaming_movies,paperless_billing,churn
CUST-00001,52,118.93,6177.83,One year,Fiber optic,Mailed check,0,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,0
CUST-00002,15,87.8,1293.58,Month-to-month,Fiber optic,Mailed check,0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1
CUST-00003,72,114.8,8269.65,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,0
CUST-00004,61,32.54,1953.8,Month-to-month,DSL,Electronic check,1,No,No,Yes,No,No,Yes,No,Yes,No,Yes,0
CUST-00005,21,56.98,1197.37,One year,No,Electronic check,0,No,No,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00006,24,74.58,1761.46,One year,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00007,3,25.83,86.72,One year,Fiber optic,Mailed check,0,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,0
CUST-00008,22,18.43,386.97,Month-to-month,DSL,Mailed check,0,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,0
CUST-00009,53,86.38,4569.12,Month-to-month,DSL,Electronic check,0,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,1
CUST-00010,2,83.47,172.82,Month-to-month,DSL,Credit card,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
CUST-00011,30,59.9,1781.55,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0
CUST-00012,38,67.94,2580.56,Two year,DSL,Bank transfer,0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,0
CUST-00013,2,60.38,90.48,Two year,No,Credit card,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00014,64,20.45,1321.42,One year,No,Electronic check,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00015,60,52.21,3167.9,Two year,Fiber optic,Credit card,0,No,No,Yes,No,Yes,No,No,No,No,Yes,0
CUST-00016,21,36.06,813.1,One year,Fiber optic,Mailed check,0,Yes,No,Yes,No,No,No,No,Yes,No,Yes,1
CUST-00017,33,28.04,927.14,Month-to-month,Fiber optic,Bank transfer,1,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1
CUST-00018,58,115.59,6719.98,Two year,No,Mailed check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00019,22,79.13,1705.25,Month-to-month,No,Bank transfer,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00020,49,92.32,4553.73,One year,DSL,Electronic check,0,No,No,Yes,No,No,Yes,No,Yes,No,Yes,1
CUST-00021,59,50.17,2975.55,Month-to-month,DSL,Electronic check,0,No,No,Yes,No,Yes,No,No,No,No,Yes,0
CUST-00022,42,58.1,2430.52,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,1
CUST-00023,60,42.17,2554.94,One year,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0
CUST-00024,15,27.89,413.26,Month-to-month,DSL,Credit card,0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,1
CUST-00025,62,36.26,2238.96,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,No,No,No,No,No,Yes,No,1
CUST-00026,62,99.35,6169.21,Month-to-month,Fiber optic,Mailed check,1,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,1
CUST-00027,47,87.11,4072.9,Month-to-month,DSL,Credit card,0,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,1
CUST-00028,62,73.79,4595.41,Two year,No,Electronic check,1,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00029,51,66.46,3368.34,One year,DSL,Credit card,0,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,0
CUST-00030,55,112.09,6143.95,Month-to-month,Fiber optic,Mailed check,0,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,1
CUST-00031,64,25.42,1608.69,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,1
CUST-00032,3,46.62,155.05,Two year,DSL,Bank transfer,0,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,0
CUST-00033,51,53.69,2725.85,Month-to-month,Fiber optic,Mailed check,0,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,0
CUST-00034,7,97.81,657.71,Month-to-month,Fiber optic,Mailed check,1,No,No,Yes,No,No,No,No,No,Yes,Yes,1
CUST-00035,21,119.24,2491.93,Month-to-month,No,Bank transfer,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00036,39,42.55,1658.81,Two year,Fiber optic,Electronic check,0,No,No,Yes,No,No,No,Yes,No,Yes,No,1
CUST-00037,18,107.18,1905.62,Month-to-month,Fiber optic,Electronic check,0,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1
CUST-00038,4,102.72,387.85,Month-to-month,Fiber optic,Credit card,0,Yes,No,Yes,No,No,No,No,No,Yes,Yes,1
CUST-00039,60,40.92,2497.43,Month-to-month,Fiber optic,Credit card,0,No,No,Yes,Yes,Yes,No,No,Yes,No,No,1
CUST-00040,14,58.73,805.01,Month-to-month,No,Mailed check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00041,9,59.79,531.65,One year,DSL,Mailed check,0,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0
CUST-00042,53,117.78,6235.0,Month-to-month,DSL,Bank transfer,0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
CUST-00043,2,36.45,64.47,Month-to-month,Fiber optic,Mailed check,1,No,No,No,No phone service,No,Yes,Yes,Yes,Yes,No,0
CUST-00044,60,99.51,5983.03,Month-to-month,DSL,Mailed check,0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1
CUST-00045,71,52.09,3717.35,Month-to-month,No,Credit card,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00046,44,92.55,4066.08,Two year,Fiber optic,Electronic check,0,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,1
CUST-00047,8,60.84,461.99,Two year,Fiber optic,Bank transfer,0,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,1
CUST-00048,47,76.99,3644.02,Month-to-month,No,Credit card,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00049,35,102.93,3600.64,Month-to-month,Fiber optic,Bank transfer,0,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,1
CUST-00050,36,100.02,3635.33,Month-to-month,Fiber optic,Credit card,1,Yes,No,Yes,No,No,No,No,Yes,No,No,0
CUST-00051,50,106.38,5274.09,One year,DSL,Electronic check,0,No,No,Yes,No,No,No,Yes,Yes,No,No,0
CUST-00052,4,24.08,100.23,One year,Fiber optic,Electronic check,0,No,Yes,No,No phone service,Yes,Yes,Yes,Yes,No,No,0
CUST-00053,2,88.59,215.55,Month-to-month,DSL,Credit card,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,0
CUST-00054,6,32.28,186.61,One year,Fiber optic,Mailed check,0,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,0
CUST-00055,54,60.41,3257.63,One year,Fiber optic,Bank transfer,0,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,0
CUST-00056,4,73.96,301.75,Two year,DSL,Electronic check,0,No,No,No,No phone service,Yes,No,No,No,No,Yes,0
CUST-00057,54,59.08,3179.14,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,1
CUST-00058,63,71.0,4466.76,Month-to-month,DSL,Mailed check,0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,0
CUST-00059,18,119.65,2146.94,Month-to-month,No,Electronic check,0,Yes,Yes,No,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00060,44,31.79,1386.21,Two year,DSL,Mailed check,0,Yes,No,No,No phone service,No,Yes,No,No,Yes,No,0
CUST-00061,34,86.9,2979.18,One year,No,Bank transfer,0,Yes,No,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00062,62,58.39,3629.4,One year,Fiber optic,Electronic check,0,No,No,Yes,No,No,No,Yes,No,Yes,Yes,0
CUST-00063,14,31.57,446.99,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,0
CUST-00064,48,34.19,1657.29,Month-to-month,DSL,Mailed check,0,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,1
CUST-00065,15,114.83,1717.16,Month-to-month,No,Electronic check,0,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00066,72,107.72,7740.36,One year,DSL,Bank transfer,1,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,0
CUST-00067,62,110.52,6840.19,Month-to-month,Fiber optic,Electronic check,0,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,1
CUST-00068,40,119.14,4765.64,Month-to-month,No,Electronic check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00069,53,39.25,2059.07,One year,No,Mailed check,1,No,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00070,24,54.25,1291.99,Month-to-month,Fiber optic,Bank transfer,0,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,0
CUST-00071,26,86.26,2232.44,Month-to-month,No,Credit card,1,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00072,60,67.35,4083.49,Month-to-month,Fiber optic,Electronic check,0,Yes,No,No,No phone service,Yes,Yes,No,Yes,Yes,No,1
CUST-00073,41,60.68,2432.4,Two year,DSL,Mailed check,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0
CUST-00074,29,54.5,1576.91,One year,Fiber optic,Electronic check,0,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0
CUST-00075,15,78.57,1213.06,Two year,DSL,Bank transfer,0,No,No,Yes,Yes,No,No,Yes,No,No,No,0
CUST-00076,45,76.71,3454.39,Month-to-month,DSL,Mailed check,1,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,0
CUST-00077,65,34.47,2255.62,Two year,Fiber optic,Bank transfer,0,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,0
CUST-00078,71,66.12,4696.52,Two year,Fiber optic,Electronic check,0,No,No,Yes,No,No,Yes,No,Yes,No,Yes,0
CUST-00079,9,74.45,656.7,One year,DSL,Credit card,0,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,0
CUST-00080,1,76.17,31.33,Two year,No,Mailed check,0,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00081,8,39.43,319.55,Month-to-month,DSL,Credit card,0,No,No,No,No phone service,No,No,Yes,Yes,No,No,1
CUST-00082,63,93.71,5888.22,Month-to-month,No,Electronic check,0,Yes,Yes,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,1
CUST-00083,11,20.57,210.26,Month-to-month,No,Mailed check,1,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,1
CUST-00084,8,54.19,423.54,One year,No,Bank transfer,0,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,0
CUST-00085,35,97.58,3450.2,One year,No,Bank transfer,0,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,0
CUST-00086,35,75.52,2691.3,One year,DSL,Electronic check,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,0
CUST-00087,33,44.64,1477.46,Month-to-month,Fiber optic,Credit card,0,Yes,No,No,No phone service,No,No,No,No,Yes,Yes,0
CUST-00088,5,88.89,435.15,Month-to-month,DSL,Electronic check,0,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,1
CUST-00089,41,75.87,3087.13,Month-to-month,DSL,Electronic check,0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1
CUST-00090,28,99.22,2787.53,One year,Fiber optic,Mailed check,0,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,1
CUST-00091,7,92.97,686.45,Month-to-month,DSL,Mailed check,1,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,1
